name,number,id
I-II,1006,ctx-lh-entorhinal
I-II,2006,ctx-rh-entorhinal
III-IV,1016,ctx-lh-parahippocampal
III-IV,2016,ctx-rh-parahippocampal
III-IV,1007,ctx-lh-fusiform
III-IV,2007,ctx-rh-fusiform
III-IV,18,Left-Amygdala
III-IV,54,Right-Amygdala
III-IV,1009,ctx-lh-inferiortemporal
III-IV,2009,ctx-rh-inferiortemporal
III-IV,1015,ctx-lh-middletemporal
III-IV,2015,ctx-rh-middletemporal
V-VI,1002,ctx-lh-caudalanteriorcingulate
V-VI,1003,ctx-lh-caudalmiddlefrontal
V-VI,1005,ctx-lh-cuneus
V-VI,1008,ctx-lh-inferiorparietal
V-VI,1010,ctx-lh-isthmuscingulate
V-VI,1011,ctx-lh-lateraloccipital
V-VI,1012,ctx-lh-lateralorbitofrontal
V-VI,1013,ctx-lh-lingual
V-VI,1014,ctx-lh-medialorbitofrontal
V-VI,1017,ctx-lh-paracentral
V-VI,1018,ctx-lh-parsopercularis
V-VI,1019,ctx-lh-parsorbitalis
V-VI,1020,ctx-lh-parstriangularis
V-VI,1021,ctx-lh-pericalcarine
V-VI,1022,ctx-lh-postcentral
V-VI,1023,ctx-lh-posteriorcingulate
V-VI,1024,ctx-lh-precentral
V-VI,1025,ctx-lh-precuneus
V-VI,1026,ctx-lh-rostralanteriorcingulate
V-VI,1027,ctx-lh-rostralmiddlefrontal
V-VI,1028,ctx-lh-superiorfrontal
V-VI,1029,ctx-lh-superiorparietal
V-VI,1030,ctx-lh-superiortemporal
V-VI,1031,ctx-lh-supramarginal
V-VI,1032,ctx-lh-frontalpole
V-VI,1033,ctx-lh-temporalpole
V-VI,1034,ctx-lh-transversetemporal
V-VI,1035,ctx-lh-insula
V-VI,2002,ctx-rh-caudalanteriorcingulate
V-VI,2003,ctx-rh-caudalmiddlefrontal
V-VI,2005,ctx-rh-cuneus
V-VI,2008,ctx-rh-inferiorparietal
V-VI,2010,ctx-rh-isthmuscingulate
V-VI,2011,ctx-rh-lateraloccipital
V-VI,2012,ctx-rh-lateralorbitofrontal
V-VI,2013,ctx-rh-lingual
V-VI,2014,ctx-rh-medialorbitofrontal
V-VI,2017,ctx-rh-paracentral
V-VI,2018,ctx-rh-parsopercularis
V-VI,2019,ctx-rh-parsorbitalis
V-VI,2020,ctx-rh-parstriangularis
V-VI,2021,ctx-rh-pericalcarine
V-VI,2022,ctx-rh-postcentral
V-VI,2023,ctx-rh-posteriorcingulate
V-VI,2024,ctx-rh-precentral
V-VI,2025,ctx-rh-precuneus
V-VI,2026,ctx-rh-rostralanteriorcingulate
V-VI,2027,ctx-rh-rostralmiddlefrontal
V-VI,2028,ctx-rh-superiorfrontal
V-VI,2029,ctx-rh-superiorparietal
V-VI,2030,ctx-rh-superiortemporal
V-VI,2031,ctx-rh-supramarginal
V-VI,2032,ctx-rh-frontalpole
V-VI,2033,ctx-rh-temporalpole
V-VI,2034,ctx-rh-transversetemporal
V-VI,2035,ctx-rh-insula
I-IV,1006,ctx-lh-entorhinal
I-IV,2006,ctx-rh-entorhinal
I-IV,1016,ctx-lh-parahippocampal
I-IV,2016,ctx-rh-parahippocampal
I-IV,1007,ctx-lh-fusiform
I-IV,2007,ctx-rh-fusiform
I-IV,18,Left-Amygdala
I-IV,54,Right-Amygdala
I-IV,1009,ctx-lh-inferiortemporal
I-IV,2009,ctx-rh-inferiortemporal
I-IV,1015,ctx-lh-middletemporal
I-IV,2015,ctx-rh-middletemporal
